Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
405,a,a,1080,4,2008,1,14,2011,"Jan,Apr,Jul,Oct"
406,d,c,8240,3,2001,1,10,2013,"Feb,May,Aug,Nov"
407,a,a,5890,10,2003,1,14,2011,"Feb,May,Aug,Nov"
408,c,a,1560,NULL,NULL,1,45,2009,"Feb,May,Aug,Nov"
409,d,c,840,NULL,NULL,1,1,2013,"Jan,Apr,Jul,Oct"
410,c,a,40,11,2011,1,22,2012,"Mar,Jun,Sept,Dec"
411,d,c,8460,NULL,NULL,0,NULL,NULL,NULL
412,d,c,4460,NULL,NULL,1,39,2010,"Jan,Apr,Jul,Oct"
413,a,c,760,9,2014,0,NULL,NULL,NULL
414,d,c,6210,NULL,NULL,1,1,2013,"Jan,Apr,Jul,Oct"
415,d,c,6910,4,2005,0,NULL,NULL,NULL
416,a,c,4650,6,2014,0,NULL,NULL,NULL
417,a,c,840,NULL,NULL,1,10,2014,"Jan,Apr,Jul,Oct"
418,a,a,1060,5,2009,1,27,2011,"Feb,May,Aug,Nov"
419,c,a,1620,9,2009,0,NULL,NULL,NULL
420,d,c,250,NULL,NULL,1,27,2012,"Jan,Apr,Jul,Oct"
421,c,c,3530,6,2012,1,35,2012,"Mar,Jun,Sept,Dec"
422,a,c,2880,NULL,NULL,0,NULL,NULL,NULL
423,b,a,1270,5,2014,0,NULL,NULL,NULL
424,d,c,1250,NULL,NULL,1,40,2011,"Jan,Apr,Jul,Oct"
425,d,c,1460,NULL,NULL,0,NULL,NULL,NULL
426,a,a,250,NULL,NULL,0,NULL,NULL,NULL
427,a,c,70,7,2005,1,13,2010,"Jan,Apr,Jul,Oct"
428,d,a,2960,12,2014,1,23,2015,"Mar,Jun,Sept,Dec"
429,d,c,16350,7,2005,1,31,2013,"Jan,Apr,Jul,Oct"
430,d,c,12870,10,2008,0,NULL,NULL,NULL
431,d,c,4520,NULL,NULL,0,NULL,NULL,NULL
432,a,a,810,5,2013,0,NULL,NULL,NULL
433,a,c,30030,11,2010,0,NULL,NULL,NULL
434,a,a,13020,8,2003,1,40,2014,"Jan,Apr,Jul,Oct"
435,a,a,910,NULL,NULL,0,NULL,NULL,NULL
436,d,a,2300,NULL,NULL,0,NULL,NULL,NULL
437,c,c,430,NULL,NULL,1,50,2010,"Jan,Apr,Jul,Oct"
438,d,c,1110,NULL,NULL,1,40,2012,"Jan,Apr,Jul,Oct"
439,a,a,1350,9,2009,0,NULL,NULL,NULL
440,d,a,3900,4,2005,1,45,2009,"Feb,May,Aug,Nov"
441,d,a,2530,NULL,NULL,0,NULL,NULL,NULL
442,c,a,500,NULL,NULL,1,45,2009,"Feb,May,Aug,Nov"
443,d,a,11400,12,2005,0,NULL,NULL,NULL
444,c,a,1700,11,2009,0,NULL,NULL,NULL
445,a,a,240,NULL,NULL,0,NULL,NULL,NULL
446,a,a,340,10,2000,1,31,2013,"Feb,May,Aug,Nov"
447,a,c,1510,9,2013,0,NULL,NULL,NULL
448,a,c,3970,9,2009,0,NULL,NULL,NULL
449,a,c,120,12,2014,1,37,2009,"Jan,Apr,Jul,Oct"
450,c,a,5780,11,1994,1,10,2014,"Mar,Jun,Sept,Dec"
451,a,a,2460,4,2009,1,13,2010,"Jan,Apr,Jul,Oct"
452,a,c,1850,8,2013,1,5,2011,"Feb,May,Aug,Nov"
453,a,c,75860,NULL,NULL,0,NULL,NULL,NULL
454,a,a,26450,NULL,NULL,0,NULL,NULL,NULL
455,d,c,7660,9,2010,0,NULL,NULL,NULL
456,a,c,140,NULL,NULL,0,NULL,NULL,NULL
457,d,c,13140,NULL,NULL,1,31,2013,"Jan,Apr,Jul,Oct"
458,c,a,3390,NULL,NULL,0,NULL,NULL,NULL
459,a,a,250,9,2008,1,5,2013,"Feb,May,Aug,Nov"
460,a,a,34050,4,2008,0,NULL,NULL,NULL
461,d,c,1790,7,2013,1,40,2013,"Jan,Apr,Jul,Oct"
462,a,a,44320,8,2008,0,NULL,NULL,NULL
463,a,a,4160,NULL,NULL,0,NULL,NULL,NULL
464,c,a,520,3,2009,0,NULL,NULL,NULL
465,d,c,10890,4,2005,0,NULL,NULL,NULL
466,a,c,3110,3,2003,0,NULL,NULL,NULL
467,a,c,20390,4,2008,0,NULL,NULL,NULL
468,c,c,5260,9,2012,0,NULL,NULL,NULL
469,c,c,710,9,2005,0,NULL,NULL,NULL
470,a,c,50,NULL,NULL,0,NULL,NULL,NULL
471,d,a,5300,NULL,NULL,1,45,2009,"Feb,May,Aug,Nov"
472,c,c,5030,8,2011,0,NULL,NULL,NULL
473,a,a,50,NULL,NULL,0,NULL,NULL,NULL
474,c,a,14810,NULL,NULL,1,14,2011,"Mar,Jun,Sept,Dec"
475,a,a,140,9,2005,0,NULL,NULL,NULL
476,d,a,8300,9,2006,0,NULL,NULL,NULL
477,d,a,770,7,2010,1,35,2010,"Jan,Apr,Jul,Oct"
478,d,c,1940,3,2012,0,NULL,NULL,NULL
479,a,a,320,12,2005,1,9,2011,"Feb,May,Aug,Nov"
480,a,a,300,11,2012,0,NULL,NULL,NULL
481,c,c,7470,NULL,NULL,1,44,2012,"Feb,May,Aug,Nov"
482,c,a,2550,10,2005,0,NULL,NULL,NULL
483,a,c,2310,9,2011,1,13,2010,"Jan,Apr,Jul,Oct"
484,a,c,14300,3,2011,0,NULL,NULL,NULL
485,d,c,3270,NULL,NULL,1,22,2012,"Jan,Apr,Jul,Oct"
486,a,a,2320,NULL,NULL,1,31,2013,"Jan,Apr,Jul,Oct"
487,d,c,2180,9,2012,1,40,2012,"Jan,Apr,Jul,Oct"
488,a,c,2890,4,2014,0,NULL,NULL,NULL
489,a,a,14960,11,2013,1,37,2009,"Jan,Apr,Jul,Oct"
490,a,a,660,4,2013,1,40,2014,"Jan,Apr,Jul,Oct"
491,d,c,4680,NULL,NULL,1,22,2012,"Mar,Jun,Sept,Dec"
492,a,a,1740,3,2008,1,40,2012,"Jan,Apr,Jul,Oct"
493,d,c,1150,NULL,NULL,1,14,2011,"Jan,Apr,Jul,Oct"
494,b,a,1260,6,2011,0,NULL,NULL,NULL
495,d,a,5470,NULL,NULL,1,37,2009,"Jan,Apr,Jul,Oct"
496,d,c,2780,6,2015,0,NULL,NULL,NULL
497,a,c,1610,NULL,NULL,0,NULL,NULL,NULL
498,a,a,990,NULL,NULL,1,40,2014,"Jan,Apr,Jul,Oct"
499,c,c,450,NULL,NULL,1,5,2013,"Feb,May,Aug,Nov"
500,d,c,10690,9,2007,1,5,2013,"Jan,Apr,Jul,Oct"
501,a,c,1620,9,2006,0,NULL,NULL,NULL
502,a,a,220,2,2002,1,37,2009,"Jan,Apr,Jul,Oct"
503,d,c,13080,9,2006,1,14,2011,"Jan,Apr,Jul,Oct"
504,c,c,820,NULL,NULL,0,NULL,NULL,NULL
505,a,a,350,NULL,NULL,1,5,2013,"Feb,May,Aug,Nov"
506,a,a,1850,12,2014,1,18,2011,"Feb,May,Aug,Nov"
507,a,c,9070,4,2011,1,37,2009,"Jan,Apr,Jul,Oct"
508,a,c,1280,NULL,NULL,1,40,2011,"Jan,Apr,Jul,Oct"
509,a,a,4740,7,2008,1,37,2009,"Jan,Apr,Jul,Oct"
510,a,c,8260,NULL,NULL,0,NULL,NULL,NULL
511,a,a,2060,9,2009,0,NULL,NULL,NULL
512,b,b,590,NULL,NULL,1,5,2013,"Mar,Jun,Sept,Dec"
513,a,a,400,8,2013,0,NULL,NULL,NULL
514,c,c,1200,7,2012,1,27,2012,"Jan,Apr,Jul,Oct"
515,d,c,11260,NULL,NULL,1,9,2011,"Feb,May,Aug,Nov"
516,a,c,20,NULL,NULL,1,35,2010,"Mar,Jun,Sept,Dec"
517,a,c,22490,NULL,NULL,0,NULL,NULL,NULL
518,d,c,3330,3,2015,1,13,2010,"Jan,Apr,Jul,Oct"
519,c,c,2510,8,2009,1,1,2012,"Jan,Apr,Jul,Oct"
520,a,c,6900,NULL,NULL,1,40,2012,"Mar,Jun,Sept,Dec"
521,d,a,18610,11,2002,1,48,2011,"Mar,Jun,Sept,Dec"
522,d,c,7160,11,2012,1,9,2011,"Jan,Apr,Jul,Oct"
523,c,c,50,11,2013,0,NULL,NULL,NULL
524,a,c,40860,9,2013,0,NULL,NULL,NULL
525,d,c,1870,9,2013,0,NULL,NULL,NULL
526,a,a,120,NULL,NULL,1,48,2011,"Mar,Jun,Sept,Dec"
527,d,c,5830,4,2008,0,NULL,NULL,NULL
528,a,c,20620,NULL,NULL,1,37,2009,"Jan,Apr,Jul,Oct"
529,d,c,12920,9,2012,0,NULL,NULL,NULL
530,a,c,18160,NULL,NULL,0,NULL,NULL,NULL
531,a,c,4030,NULL,NULL,0,NULL,NULL,NULL
532,a,c,1070,8,2010,0,NULL,NULL,NULL
533,a,c,5950,NULL,NULL,0,NULL,NULL,NULL
534,d,a,1200,9,2009,1,45,2009,"Jan,Apr,Jul,Oct"
535,a,a,3570,4,2007,0,NULL,NULL,NULL
536,a,c,4700,9,2002,1,31,2013,"Feb,May,Aug,Nov"
537,a,a,600,5,2002,1,1,2012,"Jan,Apr,Jul,Oct"
538,a,a,990,2,2010,0,NULL,NULL,NULL
539,a,a,770,5,2013,1,40,2014,"Jan,Apr,Jul,Oct"
540,d,c,810,NULL,NULL,1,48,2012,"Jan,Apr,Jul,Oct"
541,a,c,650,7,1990,0,NULL,NULL,NULL
542,a,a,7280,9,2012,1,1,2013,"Jan,Apr,Jul,Oct"
543,c,a,1080,12,2012,0,NULL,NULL,NULL
544,a,a,250,12,2001,1,13,2010,"Jan,Apr,Jul,Oct"
545,a,c,5020,5,2006,1,18,2014,"Feb,May,Aug,Nov"
546,a,a,580,1,2005,0,NULL,NULL,NULL
547,d,c,8990,11,2009,1,35,2010,"Mar,Jun,Sept,Dec"
548,d,c,3760,2,2009,0,NULL,NULL,NULL
549,a,c,2330,NULL,NULL,0,NULL,NULL,NULL
550,d,c,50,6,2015,0,NULL,NULL,NULL
551,a,c,2190,9,2013,0,NULL,NULL,NULL
552,a,a,4260,7,2008,1,37,2009,"Jan,Apr,Jul,Oct"
553,c,a,3040,9,2002,1,13,2010,"Jan,Apr,Jul,Oct"
554,c,c,1200,NULL,NULL,0,NULL,NULL,NULL
555,d,a,1560,1,2014,1,10,2013,"Mar,Jun,Sept,Dec"
556,d,c,1140,11,2014,0,NULL,NULL,NULL
557,a,a,250,NULL,NULL,0,NULL,NULL,NULL
558,a,a,3000,2,2010,0,NULL,NULL,NULL
559,d,a,3910,11,2006,1,5,2013,"Feb,May,Aug,Nov"
560,c,c,1910,7,2013,0,NULL,NULL,NULL
561,d,a,14300,NULL,NULL,0,NULL,NULL,NULL
562,b,c,1210,NULL,NULL,0,NULL,NULL,NULL
563,a,a,700,3,2015,1,10,2014,"Jan,Apr,Jul,Oct"
564,d,c,6540,NULL,NULL,1,14,2013,"Jan,Apr,Jul,Oct"
565,a,c,160,7,2007,0,NULL,NULL,NULL
566,a,a,3620,NULL,NULL,1,40,2013,"Jan,Apr,Jul,Oct"
567,c,a,1010,9,2012,1,18,2011,"Feb,May,Aug,Nov"
568,d,c,4270,NULL,NULL,1,1,2013,"Jan,Apr,Jul,Oct"
569,a,a,1340,9,2006,0,NULL,NULL,NULL
570,a,a,180,11,2006,0,NULL,NULL,NULL
571,d,a,2110,11,1995,1,40,2014,"Jan,Apr,Jul,Oct"
572,d,c,9230,4,2004,1,37,2009,"Jan,Apr,Jul,Oct"
573,a,a,1190,11,2012,1,36,2013,"Jan,Apr,Jul,Oct"
574,d,a,4400,NULL,NULL,0,NULL,NULL,NULL
575,a,a,960,5,2008,1,13,2010,"Jan,Apr,Jul,Oct"
576,c,a,50,11,2006,0,NULL,NULL,NULL
577,a,c,2270,NULL,NULL,1,35,2012,"Mar,Jun,Sept,Dec"
578,d,a,12700,4,2013,0,NULL,NULL,NULL
579,c,a,20970,11,2012,0,NULL,NULL,NULL
580,a,c,170,2,2009,0,NULL,NULL,NULL
581,a,a,7250,12,2013,0,NULL,NULL,NULL
582,a,a,120,NULL,NULL,0,NULL,NULL,NULL
583,a,a,2640,11,2002,0,NULL,NULL,NULL
584,d,a,1360,NULL,NULL,1,35,2010,"Mar,Jun,Sept,Dec"
585,d,c,440,4,2014,0,NULL,NULL,NULL
586,a,c,250,10,2008,0,NULL,NULL,NULL
587,d,c,330,9,2006,1,14,2011,"Jan,Apr,Jul,Oct"
588,d,c,15720,3,2010,0,NULL,NULL,NULL
589,a,c,360,NULL,NULL,1,18,2013,"Feb,May,Aug,Nov"
590,d,c,4520,9,2010,1,31,2013,"Jan,Apr,Jul,Oct"
591,a,c,3340,NULL,NULL,1,22,2012,"Mar,Jun,Sept,Dec"
592,a,a,2540,6,2005,0,NULL,NULL,NULL
593,a,c,33060,3,2010,0,NULL,NULL,NULL
594,a,a,1790,10,2011,0,NULL,NULL,NULL
595,c,c,1130,6,2015,0,NULL,NULL,NULL
596,c,a,290,9,2006,0,NULL,NULL,NULL
597,a,a,150,9,2008,1,1,2012,"Mar,Jun,Sept,Dec"
598,c,a,550,12,2013,1,40,2014,"Jan,Apr,Jul,Oct"
599,d,c,580,11,2014,0,NULL,NULL,NULL
600,d,c,17340,6,2010,1,9,2011,"Feb,May,Aug,Nov"
601,d,a,8220,4,2014,1,14,2011,"Jan,Apr,Jul,Oct"
602,a,a,2710,7,2001,1,22,2012,"Mar,Jun,Sept,Dec"
603,a,a,340,4,2007,1,13,2010,"Jan,Apr,Jul,Oct"
604,d,a,10950,3,2014,0,NULL,NULL,NULL
605,d,a,10310,4,2003,1,37,2009,"Jan,Apr,Jul,Oct"
606,a,a,2260,11,2007,0,NULL,NULL,NULL
607,a,a,350,8,1999,1,14,2011,"Jan,Apr,Jul,Oct"
608,a,c,18370,2,2013,1,14,2011,"Jan,Apr,Jul,Oct"
609,a,a,2070,9,2007,0,NULL,NULL,NULL
610,a,a,660,1,2007,0,NULL,NULL,NULL
611,a,a,8080,12,2002,1,40,2014,"Jan,Apr,Jul,Oct"
612,d,c,2490,11,2012,1,31,2009,"Jan,Apr,Jul,Oct"
613,c,a,250,6,2007,1,14,2011,"Jan,Apr,Jul,Oct"
614,a,a,1160,12,2012,0,NULL,NULL,NULL
615,d,a,730,8,2007,0,NULL,NULL,NULL
616,a,c,3040,8,2011,1,35,2010,"Mar,Jun,Sept,Dec"
617,a,c,8940,NULL,NULL,1,9,2011,"Jan,Apr,Jul,Oct"
618,d,c,9910,NULL,NULL,0,NULL,NULL,NULL
619,a,a,1600,6,2006,1,45,2009,"Feb,May,Aug,Nov"
620,d,c,5440,NULL,NULL,1,40,2014,"Jan,Apr,Jul,Oct"
621,a,a,30,7,2002,0,NULL,NULL,NULL
622,a,c,NULL,NULL,NULL,0,NULL,NULL,NULL
623,a,a,4080,3,2011,1,13,2010,"Jan,Apr,Jul,Oct"
624,a,c,6920,9,2011,0,NULL,NULL,NULL
625,a,a,1170,4,2011,1,22,2012,"Feb,May,Aug,Nov"
626,c,c,10740,11,2013,0,NULL,NULL,NULL
627,c,c,3970,3,2010,0,NULL,NULL,NULL
628,a,c,2180,NULL,NULL,0,NULL,NULL,NULL
629,d,a,510,7,2014,1,23,2015,"Mar,Jun,Sept,Dec"
630,a,a,1690,4,2015,0,NULL,NULL,NULL
631,d,c,2870,NULL,NULL,1,35,2012,"Mar,Jun,Sept,Dec"
632,a,a,3350,2,2010,0,NULL,NULL,NULL
633,d,a,11640,4,2005,1,22,2011,"Jan,Apr,Jul,Oct"
634,d,a,18610,NULL,NULL,0,NULL,NULL,NULL
635,a,a,27530,4,2014,0,NULL,NULL,NULL
636,c,a,720,10,2004,1,13,2010,"Jan,Apr,Jul,Oct"
637,d,c,9790,NULL,NULL,1,31,2009,"Feb,May,Aug,Nov"
638,d,a,10170,11,2001,0,NULL,NULL,NULL
639,a,a,7780,11,2006,0,NULL,NULL,NULL
640,d,c,8040,NULL,NULL,0,NULL,NULL,NULL
641,a,c,610,12,2003,1,36,2013,"Mar,Jun,Sept,Dec"
642,c,c,530,4,2005,1,35,2010,"Mar,Jun,Sept,Dec"
643,a,a,230,6,2010,1,18,2010,"Feb,May,Aug,Nov"
644,c,a,4030,12,2004,1,14,2011,"Jan,Apr,Jul,Oct"
645,a,a,90,NULL,NULL,1,45,2009,"Feb,May,Aug,Nov"
646,a,a,620,9,2014,0,NULL,NULL,NULL
647,a,c,7420,4,2013,0,NULL,NULL,NULL
648,d,a,2130,12,2008,0,NULL,NULL,NULL
649,a,a,14570,11,2002,0,NULL,NULL,NULL
650,a,a,1420,10,2012,1,40,2014,"Jan,Apr,Jul,Oct"
651,a,a,200,NULL,NULL,0,NULL,NULL,NULL
652,a,a,20390,NULL,NULL,0,NULL,NULL,NULL
653,d,c,7520,7,2014,1,45,2009,"Feb,May,Aug,Nov"
654,c,a,6930,9,2006,0,NULL,NULL,NULL
655,d,c,960,11,2012,1,5,2013,"Feb,May,Aug,Nov"
656,d,a,410,4,2009,1,13,2010,"Jan,Apr,Jul,Oct"
657,c,c,80,1,2006,1,10,2014,"Jan,Apr,Jul,Oct"
658,d,c,520,NULL,NULL,1,37,2009,"Jan,Apr,Jul,Oct"
659,d,a,1590,3,2012,0,NULL,NULL,NULL
660,a,a,1200,11,2006,1,40,2014,"Jan,Apr,Jul,Oct"
661,d,c,2140,7,2013,0,NULL,NULL,NULL
662,d,a,1070,NULL,NULL,0,NULL,NULL,NULL
663,a,c,7860,5,2005,0,NULL,NULL,NULL
664,d,c,1680,10,2005,0,NULL,NULL,NULL
665,a,a,90,12,2012,1,14,2011,"Jan,Apr,Jul,Oct"
666,c,c,2700,NULL,NULL,1,9,2011,"Mar,Jun,Sept,Dec"
667,d,c,2870,9,2012,0,NULL,NULL,NULL
668,c,a,1270,9,2010,0,NULL,NULL,NULL
669,d,a,17080,7,2012,1,31,2013,"Jan,Apr,Jul,Oct"
670,a,a,2060,NULL,NULL,1,45,2009,"Feb,May,Aug,Nov"
671,a,c,2070,2,2008,1,39,2010,"Jan,Apr,Jul,Oct"
672,c,a,240,9,2002,0,NULL,NULL,NULL
673,d,c,15170,NULL,NULL,1,5,2013,"Feb,May,Aug,Nov"
674,a,a,2640,12,2005,1,31,2013,"Feb,May,Aug,Nov"
675,a,a,2100,8,2013,1,14,2011,"Jan,Apr,Jul,Oct"
676,b,b,1410,9,2008,0,NULL,NULL,NULL
677,d,a,1740,6,2014,1,45,2009,"Feb,May,Aug,Nov"
678,c,a,3250,NULL,NULL,1,40,2011,"Jan,Apr,Jul,Oct"
679,a,a,4140,9,2012,0,NULL,NULL,NULL
680,c,a,170,NULL,NULL,1,35,2012,"Mar,Jun,Sept,Dec"
681,a,c,620,NULL,NULL,1,1,2014,"Mar,Jun,Sept,Dec"
682,b,a,150,9,2006,0,NULL,NULL,NULL
683,a,a,2850,7,2014,0,NULL,NULL,NULL
684,d,c,680,NULL,NULL,1,22,2012,"Jan,Apr,Jul,Oct"
685,a,a,650,11,2013,1,37,2009,"Jan,Apr,Jul,Oct"
686,a,a,20050,4,2002,0,NULL,NULL,NULL
687,d,c,2770,NULL,NULL,0,NULL,NULL,NULL
688,a,a,18760,8,2015,1,14,2011,"Jan,Apr,Jul,Oct"
689,d,a,15040,10,2004,0,NULL,NULL,NULL
690,a,a,100,NULL,NULL,0,NULL,NULL,NULL
691,d,c,3030,NULL,NULL,1,37,2009,"Jan,Apr,Jul,Oct"
692,a,a,40,8,2001,0,NULL,NULL,NULL
693,d,a,450,NULL,NULL,1,40,2011,"Jan,Apr,Jul,Oct"
694,a,c,460,11,2012,1,40,2014,"Jan,Apr,Jul,Oct"
695,a,a,550,7,2011,1,1,2012,"Jan,Apr,Jul,Oct"
696,a,c,430,NULL,NULL,0,NULL,NULL,NULL
697,d,a,3780,NULL,NULL,1,40,2011,"Jan,Apr,Jul,Oct"
698,a,a,1790,5,2011,0,NULL,NULL,NULL
699,a,a,180,NULL,NULL,1,5,2013,"Jan,Apr,Jul,Oct"
700,a,c,830,NULL,NULL,1,27,2013,"Jan,Apr,Jul,Oct"
701,d,a,1450,3,2012,1,14,2011,"Jan,Apr,Jul,Oct"
702,a,a,8550,9,2001,1,45,2009,"Feb,May,Aug,Nov"
703,a,a,80,6,2005,0,NULL,NULL,NULL
704,d,c,1910,4,2009,0,NULL,NULL,NULL
705,a,a,4140,9,2012,1,18,2011,"Feb,May,Aug,Nov"
706,d,a,7830,9,2014,1,10,2014,"Mar,Jun,Sept,Dec"
707,a,c,2900,7,1990,0,NULL,NULL,NULL
708,c,c,11470,10,2009,1,18,2014,"Jan,Apr,Jul,Oct"
709,a,a,500,12,2010,0,NULL,NULL,NULL
710,d,a,1500,9,2008,1,14,2011,"Jan,Apr,Jul,Oct"
711,d,a,17110,3,2007,1,5,2010,"Jan,Apr,Jul,Oct"
712,a,a,4870,9,2007,1,45,2009,"Jan,Apr,Jul,Oct"
713,a,c,220,NULL,NULL,1,10,2014,"Jan,Apr,Jul,Oct"
714,d,c,12070,10,2005,1,10,2013,"Jan,Apr,Jul,Oct"
715,a,a,14810,6,2014,0,NULL,NULL,NULL
716,d,a,3200,1,2008,1,22,2011,"Jan,Apr,Jul,Oct"
717,d,c,310,NULL,NULL,1,40,2011,"Jan,Apr,Jul,Oct"
718,a,a,1100,6,2015,0,NULL,NULL,NULL
719,c,c,8190,NULL,NULL,1,45,2009,"Feb,May,Aug,Nov"
720,a,c,15320,3,2011,1,14,2013,"Feb,May,Aug,Nov"
721,a,c,3590,9,2012,1,22,2012,"Mar,Jun,Sept,Dec"
722,a,a,50,NULL,NULL,0,NULL,NULL,NULL
723,d,c,5650,9,2008,1,5,2013,"Feb,May,Aug,Nov"
724,d,c,5900,NULL,NULL,0,NULL,NULL,NULL
725,d,c,17540,6,2012,0,NULL,NULL,NULL
726,a,c,40540,2,2002,0,NULL,NULL,NULL
727,a,a,2050,3,2007,0,NULL,NULL,NULL
728,d,a,13990,NULL,NULL,1,14,2011,"Jan,Apr,Jul,Oct"
729,c,c,8980,6,2011,0,NULL,NULL,NULL
730,c,a,1190,9,2013,0,NULL,NULL,NULL
731,a,a,15270,NULL,NULL,1,10,2014,"Jan,Apr,Jul,Oct"
732,a,c,35280,NULL,NULL,0,NULL,NULL,NULL
733,b,b,860,10,1999,0,NULL,NULL,NULL
734,a,a,220,NULL,NULL,1,36,2013,"Mar,Jun,Sept,Dec"
735,d,c,1920,4,2005,0,NULL,NULL,NULL
736,c,c,1650,NULL,NULL,1,14,2011,"Jan,Apr,Jul,Oct"
737,a,a,100,5,2007,1,31,2013,"Jan,Apr,Jul,Oct"
738,d,c,5980,10,2005,0,NULL,NULL,NULL
739,d,c,2770,6,2008,1,22,2011,"Jan,Apr,Jul,Oct"
740,d,a,6400,3,2014,0,NULL,NULL,NULL
741,d,c,11900,NULL,NULL,0,NULL,NULL,NULL
742,d,c,4380,NULL,NULL,0,NULL,NULL,NULL
743,a,a,6710,11,2003,1,14,2012,"Jan,Apr,Jul,Oct"
744,a,a,1370,12,2011,1,40,2014,"Jan,Apr,Jul,Oct"
745,a,a,17650,11,2013,1,37,2009,"Jan,Apr,Jul,Oct"
746,d,c,4330,2,2011,1,35,2011,"Mar,Jun,Sept,Dec"
747,c,c,45740,8,2008,0,NULL,NULL,NULL
748,d,a,2380,3,2010,1,14,2011,"Jan,Apr,Jul,Oct"
749,a,a,3410,8,2011,1,14,2015,"Jan,Apr,Jul,Oct"
750,d,a,8670,2,2002,1,14,2011,"Jan,Apr,Jul,Oct"
751,a,a,650,10,2006,0,NULL,NULL,NULL
752,a,a,970,3,2013,1,31,2013,"Feb,May,Aug,Nov"
753,d,c,540,11,2012,1,35,2010,"Mar,Jun,Sept,Dec"
754,c,c,380,5,2008,1,10,2014,"Mar,Jun,Sept,Dec"
755,d,c,13130,12,2003,0,NULL,NULL,NULL
756,a,c,50,NULL,NULL,1,40,2011,"Jan,Apr,Jul,Oct"
757,a,c,3450,NULL,NULL,0,NULL,NULL,NULL
758,a,c,19780,6,2008,0,NULL,NULL,NULL
759,a,a,110,11,2012,1,31,2013,"Feb,May,Aug,Nov"
760,a,a,560,1,2011,0,NULL,NULL,NULL
761,a,a,2390,9,2012,0,NULL,NULL,NULL
762,d,c,1280,NULL,NULL,1,10,2013,"Mar,Jun,Sept,Dec"
763,d,c,32240,3,2010,0,NULL,NULL,NULL
764,a,c,26490,NULL,NULL,1,10,2014,"Mar,Jun,Sept,Dec"
765,a,c,25430,5,1999,1,37,2009,"Jan,Apr,Jul,Oct"
766,d,c,9820,NULL,NULL,0,NULL,NULL,NULL
767,a,c,13080,NULL,NULL,0,NULL,NULL,NULL
768,a,c,2630,9,2012,0,NULL,NULL,NULL
769,b,b,840,NULL,NULL,1,48,2012,"Jan,Apr,Jul,Oct"
770,a,c,100,4,2015,0,NULL,NULL,NULL
771,a,a,20640,9,2007,0,NULL,NULL,NULL
772,d,c,1850,NULL,NULL,0,NULL,NULL,NULL
773,a,a,200,NULL,NULL,0,NULL,NULL,NULL
774,a,c,640,9,2013,0,NULL,NULL,NULL
775,d,c,6970,12,2005,1,22,2011,"Jan,Apr,Jul,Oct"
776,c,a,700,4,2009,1,14,2011,"Jan,Apr,Jul,Oct"
777,d,c,8250,10,2004,1,10,2013,"Mar,Jun,Sept,Dec"
778,a,a,340,6,2003,1,40,2014,"Jan,Apr,Jul,Oct"
779,a,a,16990,4,2004,0,NULL,NULL,NULL
780,a,a,18160,NULL,NULL,0,NULL,NULL,NULL
781,a,a,630,4,2007,0,NULL,NULL,NULL
782,c,c,5390,8,2003,1,1,2012,"Jan,Apr,Jul,Oct"
783,d,c,15490,NULL,NULL,0,NULL,NULL,NULL
784,a,a,560,10,2014,1,10,2014,"Jan,Apr,Jul,Oct"
785,d,c,970,7,2005,1,31,2013,"Feb,May,Aug,Nov"
786,a,a,290,11,2006,1,5,2013,"Feb,May,Aug,Nov"
787,c,c,3210,6,2009,0,NULL,NULL,NULL
788,a,c,1530,3,2013,0,NULL,NULL,NULL
789,a,c,9770,7,2003,0,NULL,NULL,NULL
790,d,c,9070,12,2003,0,NULL,NULL,NULL
791,a,a,5950,4,2007,0,NULL,NULL,NULL
792,d,a,17280,10,2009,1,18,2011,"Feb,May,Aug,Nov"
793,d,a,2710,7,2006,0,NULL,NULL,NULL
794,c,c,5090,9,2006,0,NULL,NULL,NULL
795,d,a,510,NULL,NULL,1,35,2010,"Mar,Jun,Sept,Dec"
796,a,c,7180,11,2012,0,NULL,NULL,NULL
797,a,a,2090,10,2012,1,40,2014,"Jan,Apr,Jul,Oct"
798,a,a,9560,4,2001,0,NULL,NULL,NULL
799,a,c,2700,NULL,NULL,0,NULL,NULL,NULL
800,d,a,2020,7,2014,0,NULL,NULL,NULL
801,d,a,48330,4,2013,0,NULL,NULL,NULL
802,a,c,910,NULL,NULL,1,22,2011,"Feb,May,Aug,Nov"
803,d,a,1760,NULL,NULL,1,10,2014,"Mar,Jun,Sept,Dec"
804,c,c,2100,NULL,NULL,1,1,2013,"Jan,Apr,Jul,Oct"
805,d,a,24770,10,2011,1,10,2014,"Mar,Jun,Sept,Dec"
806,d,a,260,NULL,NULL,1,44,2010,"Feb,May,Aug,Nov"
807,a,a,3870,4,2008,0,NULL,NULL,NULL
808,a,a,18620,NULL,NULL,1,31,2009,"Feb,May,Aug,Nov"
809,a,a,12770,10,2000,0,NULL,NULL,NULL
810,d,c,9640,11,2013,0,NULL,NULL,NULL
811,a,a,410,9,2012,0,NULL,NULL,NULL
812,d,a,2590,9,2012,0,NULL,NULL,NULL
813,a,a,1560,9,2003,0,NULL,NULL,NULL
814,d,c,24530,7,2013,0,NULL,NULL,NULL
